brand, product_name, shipping, current_price
GIGABYTE, GIGABYTE Eagle GeForce RTX 3080 Ti Video Card GV-N308TEAGLE-12GD, $9.99 Shipping, $1,199.99 –
MSI, MSI Ventus GeForce RTX 3080 Ti Video Card RTX 3080 Ti VENTUS 3X 12G, $9.99 Shipping, $1,749.99 (3 Offers)–
EVGA, EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING Video Card| 12G-P5-3967-KR| 12GB GDDR6X| iCX3 Technology| ARGB LED| Metal Backplate, $9.99 Shipping, $1,479.99 –
GIGABYTE, GIGABYTE Gaming GeForce RTX 3080 Ti Video Card GV-N308TGAMING OC-12GD, $9.99 Shipping, $1,549.99 (11 Offers)–
GIGABYTE, GIGABYTE Vision GeForce RTX 3080 Ti Video Card GV-N308TVISION OC-12GD, $9.99 Shipping, $1,599.99 (6 Offers)–
MSI, MSI Gaming GeForce RTX 3080 Ti Video Card RTX 3080 Ti Gaming X Trio 12G, $9.99 Shipping, $1,769.99 (10 Offers)–
MSI, MSI Ventus GeForce RTX 3080 Ti Video Card RTX 3080 Ti Ventus 3X 12G OC, $9.99 Shipping, $1,959.99 (10 Offers)–
EVGA, EVGA GeForce RTX 3080 Ti XC3 GAMING Video Card| 12G-P5-3953-KR| 12GB GDDR6X| iCX3 Cooling| ARGB LED| Metal Backplate, , 
GIGABYTE, GIGABYTE Eagle GeForce RTX 3080 Ti Video Card GV-N308TEAGLE OC-12GD, , 
GIGABYTE, GIGABYTE AORUS GeForce RTX 3080 Ti Video Card GV-N308TAORUS M-12GD, $9.99 Shipping, $1,649.99 (4 Offers)–
GIGABYTE, GIGABYTE AORUS GeForce RTX 3080 Ti Video Card GV-N308TAORUS X-12GD, , 
MSI, MSI Ventus GeForce RTX 3070 Video Card RTX 3070 VENTUS 2X OC, , 
